GameNumb,Score,Time
0,19,9
1,8,4
2,10,7
3,3,4
4,12,13
5,16,11
6,8,11
7,16,16
8,13,10
9,7,6
10,8,8
11,19,13
12,13,10
13,13,10
14,8,7
15,8,7
16,7,7
17,8,7
18,11,10
19,13,9
20,21,16
21,8,9
22,18,15
23,9,8
24,8,7
25,9,9
26,11,7
27,7,7
28,8,7
29,13,11
30,14,14
31,18,16
0,6,2
1,4,3
2,4,1
3,7,1
4,9,1
5,7,1
6,9,1
7,12,2
8,13,2
9,13,5
10,7,2
11,16,4
12,9,3
13,14,4
14,6,2
15,7,1
16,16,4
17,5,2
18,10,2
19,10,2
20,10,2
21,11,2
22,13,3
23,11,2
24,16,3
25,7,1
26,17,4
27,8,1
28,13,2
29,11,2
30,19,5
31,21,5
32,13,4
33,12,2
34,13,2
35,10,2
36,14,3
37,10,2
38,17,3
39,18,3
40,20,5
41,20,4
42,13,2
43,20,4
44,13,3
45,17,4
46,17,3
47,17,3
48,25,6
49,15,3
50,7,2
51,13,2
52,13,2
53,16,3
54,26,9
55,11,2
56,17,5
57,23,7
58,13,3
59,19,5
60,11,2
61,29,10
62,15,3
63,21,8
64,13,2
65,20,5
66,24,7
67,8,1
68,22,6
69,18,4
70,21,6
71,10,1
72,18,3
73,10,2
74,21,4
75,20,6
76,18,5
77,24,6
78,18,3
79,9,3
80,21,4
81,24,5
82,9,2
83,14,3
84,19,3
85,13,3
86,22,5
87,10,2
88,9,1
89,18,3
90,11,1
91,17,3
92,19,5
93,7,1
94,14,2
95,18,3
96,8,1
97,25,5
98,20,3
99,13,2
100,8,1
101,9,2
102,19,4
103,17,3
104,11,1
105,24,5
106,21,3
107,17,3
108,22,3
109,18,5
110,20,4
111,14,3
112,15,2
113,21,3
114,21,4
115,17,3
116,13,4
117,7,3
118,19,6
119,13,4
120,31,9
121,21,6
122,28,9
123,11,4
124,19,5
125,11,4
126,23,7
127,15,5
128,19,5
129,11,3
130,11,3
131,19,7
132,23,8
133,22,6
134,9,3
135,20,6
136,13,4
137,15,4
138,20,5
139,22,6
140,16,4
141,22,10
142,21,7
143,11,3
144,18,7
145,20,6
0,5,3
0,8,1
1,7,3
2,7,1
3,6,1
4,8,1
5,8,1
6,7,1
7,7,2
8,5,2
9,7,1
10,4,2
11,5,1
12,7,3
13,11,3
14,28,9
15,26,6
16,12,2
17,9,1
18,8,3
19,21,5
20,12,2
21,9,2
22,16,5
23,11,6
24,6,1
25,5,2
0,17,2
1,19,3
2,6,1
3,5,1
4,6,1
5,7,1
6,6,2
7,9,2
8,13,2
9,13,2
10,6,1
11,7,1
12,24,5
13,24,6
14,19,4
15,11,3
